province,province_x,province_y,capital,capital_x,capital_y
British Columbia,-394,-124,Victoria,-440,-224
Alberta,-282,-151,Edmonton,-277,-188
Saskatchewan,-180,-167,Regina,-175,-252
Manitoba,-81,-173,Winnipeg,-102,-266
Ontario,66,-222,Toronto,200,-350
Quebec,224,-144,Quebec,287,-249
Newfoundland,338,-45,St.John's,485,-79
New Brunswick,345, -237,Fredericton,361,-200
Prince Edward Island,390,-170,Charlottetown,394,-177
Nova Scotia,445,-204,Halifax,403,-213
Yukon,-411,90,Whitehorse,-439,50
Northwest Territories,-302,51,Yellowknife,-237,-16
Nunavut,-123,20,Iqaluit,156,69
